game,platform,section,asset_name,asset_id,asset_page_url,uploaded_by,contributors,submitted,format,size,local_file,downloaded_at
Final Fantasy: Record Keeper,Mobile,Playable Characters: Final Fantasy Record Keeper,Tyro (Cook Coat),ff_tyro_cook_coat,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/208231/,AerospaceCoot35,,"October 21, 2023",PNG (image/png),3.60 KB (256x256),ff_tyro_cook_coat.png,2026-07-16T06:17:26.750292+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Final Fantasy Record Keeper,Tyro (Dragon Quest),ff_tyro_dragon_quest,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/111722/,volo,,"December 23, 2018",PNG (image/png),5.35 KB (128x256),ff_tyro_dragon_quest.png,2026-07-16T06:17:33.764935+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Final Fantasy Record Keeper,Tyro (Palom Model),ff_tyro_palom_model,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/218739/,AerospaceCoot35,,"March 4, 2024",PNG (image/png),3.17 KB (128x256),ff_tyro_palom_model.png,2026-07-16T06:17:44.944482+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Final Fantasy Record Keeper,Tyro (Vivi Model),ff_tyro_vivi_model,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/208233/,AerospaceCoot35,,"October 21, 2023",PNG (image/png),3.50 KB (256x256),ff_tyro_vivi_model.png,2026-07-16T06:17:52.749366+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Final Fantasy Record Keeper,Tyro (Warrior of Light Model),ff_tyro_warrior_of_light_model,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/240467/,AerospaceCoot35,,"October 3, 2024",PNG (image/png),4.69 KB (256x256),ff_tyro_warrior_of_light_model.png,2026-07-16T06:18:00.129080+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Final Fantasy Record Keeper,Wedge,ff_wedge,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/105696/,Gemini,,"May 16, 2018",PNG (image/png),11.39 KB (128x256),ff_wedge.png,2026-07-16T06:18:20.427373+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Final Fantasy Record Keeper,Wedge (FFVII Model),ff_wedge_ffvii_model,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/208227/,AerospaceCoot35,,"October 21, 2023",PNG (image/png),2.86 KB (256x256),ff_wedge_ffvii_model.png,2026-07-16T06:18:29.874145+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Final Fantasy Record Keeper,Wedge (Ninja),ff_wedge_ninja,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/547034/,AerospaceCoot35,,"April 22, 2026",PNG (image/png),2.35 KB (128x128),ff_wedge_ninja.png,2026-07-16T06:18:37.462890+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Classes,Bard,ff_bard,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/65356/,Papaco,Madruga,"February 15, 2015",PNG (image/png),5.77 KB (256x256),ff_bard.png,2026-07-16T06:18:45.610138+00:00
Final Fantasy: Record Keeper,Mobile,Playable Characters: Classes,Beastmaster,ff_beastmaster,https://www.spriters-resource.com/mobile/finalfantasyrecordkeeper/asset/105650/,Gemini,,"May 15, 2018",PNG (image/png),5.38 KB (256x256),ff_beastmaster.png,2026-07-16T06:18:54.362664+00:00
